"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"77",-4.01e-288,-3.92e-288,-3.9e-288,-4.01e-288,-3.92e-288,-3.9e-288,-4.01e-288,-4.01e-288,-3.9e-288,-4.01e-288,-4.01e-288,-3.92e-288
"78",-1.09e-287,-1.06e-287,-1.06e-287,-1.1e-287,-1.06e-287,-1.06e-287,-1.1e-287,-1.09e-287,-1.06e-287,-1.1e-287,-1.09e-287,-1.06e-287
"79",-2.98e-287,-2.9e-287,-2.9e-287,-2.99e-287,-2.9e-287,-2.9e-287,-2.99e-287,-2.98e-287,-2.9e-287,-2.99e-287,-2.98e-287,-2.9e-287
"80",-8.08e-287,-7.88e-287,-7.87e-287,-8.08e-287,-7.88e-287,-7.87e-287,-8.08e-287,-8.08e-287,-7.87e-287,-8.08e-287,-8.08e-287,-7.88e-287
"81",-2.19e-286,-2.13e-286,-2.07e-286,-2.2e-286,-2.13e-286,-2.07e-286,-2.2e-286,-2.19e-286,-2.07e-286,-2.2e-286,-2.19e-286,-2.13e-286
"82",-5.98e-286,-5.84e-286,-5.65e-286,-6e-286,-5.84e-286,-5.65e-286,-6e-286,-5.98e-286,-5.65e-286,-6e-286,-5.98e-286,-5.84e-286
"83",-1.62e-285,-1.58e-285,-1.77e-285,-1.62e-285,-1.58e-285,-1.77e-285,-1.62e-285,-1.62e-285,-1.77e-285,-1.62e-285,-1.62e-285,-1.58e-285
"84",-4.39e-285,-4.29e-285,-4.57e-285,-4.41e-285,-4.29e-285,-4.57e-285,-4.41e-285,-4.39e-285,-4.57e-285,-4.41e-285,-4.39e-285,-4.29e-285
"85",-1.2e-284,-1.17e-284,-1.19e-284,-1.2e-284,-1.17e-284,-1.19e-284,-1.2e-284,-1.2e-284,-1.19e-284,-1.2e-284,-1.2e-284,-1.17e-284
"86",-3.24e-284,-3.16e-284,-3.19e-284,-3.26e-284,-3.16e-284,-3.19e-284,-3.26e-284,-3.24e-284,-3.19e-284,-3.26e-284,-3.24e-284,-3.16e-284
"87",-8.82e-284,-8.59e-284,-8.62e-284,-8.86e-284,-8.59e-284,-8.62e-284,-8.86e-284,-8.82e-284,-8.62e-284,-8.86e-284,-8.82e-284,-8.59e-284
"88",-2.42e-283,-2.35e-283,-2.35e-283,-2.41e-283,-2.35e-283,-2.35e-283,-2.41e-283,-2.42e-283,-2.35e-283,-2.41e-283,-2.42e-283,-2.35e-283
"89",-6.54e-283,-6.36e-283,-6.35e-283,-6.55e-283,-6.36e-283,-6.35e-283,-6.55e-283,-6.54e-283,-6.35e-283,-6.55e-283,-6.54e-283,-6.36e-283
"90",-1.78e-282,-1.72e-282,-1.7e-282,-1.77e-282,-1.72e-282,-1.7e-282,-1.77e-282,-1.78e-282,-1.7e-282,-1.77e-282,-1.78e-282,-1.72e-282
"91",-4.85e-282,-4.72e-282,-4.65e-282,-4.83e-282,-4.72e-282,-4.65e-282,-4.83e-282,-4.85e-282,-4.65e-282,-4.83e-282,-4.85e-282,-4.72e-282
"92",-1.32e-281,-1.28e-281,-1.27e-281,-1.31e-281,-1.28e-281,-1.27e-281,-1.31e-281,-1.32e-281,-1.27e-281,-1.31e-281,-1.32e-281,-1.28e-281
